fecha,tipo_cambio
2023-08-11,7267.53
2023-08-14,7263.54
2023-08-16,7270.62
2023-08-17,7268.28
2023-08-18,7275.01
2023-08-21,7265.56
2023-08-22,7276.17
2023-08-23,7286.5
2023-08-24,7290.85
2023-08-25,7278.81
2023-08-28,7277.8
2023-08-29,7280.62
2023-08-30,7292.39
2023-08-31,7282.7
2023-09-01,7274.61
2023-09-04,7273.81
2023-09-05,7269.79
2023-09-06,7273.52
2023-09-07,7273.38
2023-09-08,7268.64
2023-09-11,7277.44
2023-09-12,7282.61
2023-09-13,7285.05
2023-09-14,7282.96
2023-09-15,7270.58
2023-09-18,7267.92
2023-09-19,7282.58
2023-09-20,7286.68
2023-09-21,7290.91
2023-09-22,7292.72
2023-09-25,7290.09
2023-09-26,7282.09
2023-09-27,7295.79
2023-09-28,7295.68
2023-10-02,7291.36
2023-10-03,7301.27
2023-10-04,7312.87
2023-10-05,7319.21
2023-10-06,7314.78
2023-10-09,7320.96
2023-10-10,7329.56
2023-10-11,7337.93
2023-10-12,7346.58
2023-10-13,7378.51
2023-10-16,7405.33
2023-10-17,7444.29
2023-10-18,7438.02
2023-10-19,7423.24
2023-10-20,7434.75
2023-10-23,7447.88
2023-10-24,7428.79
2023-10-25,7431.64
2023-10-26,7453.54
2023-10-27,7481.37
2023-10-30,7469.56
2023-10-31,7468.22
2023-11-01,7477.52
2023-11-02,7478.48
2023-11-03,7469.51
2023-11-06,7450.73
2023-11-07,7440.78
2023-11-08,7440.18
2023-11-09,7439.37
2023-11-10,7443.16
2023-11-13,7446.28
2023-11-14,7451.63
2023-11-15,7442.35
2023-11-16,7437.63
2023-11-17,7446.09
2023-11-20,7446.89
2023-11-21,7447.42
2023-11-22,7444.52
2023-11-23,7458.8
2023-11-24,7446.71
2023-11-27,7432.43
2023-11-28,7435.37
2023-11-29,7437.26
2023-11-30,7423.96
2023-12-01,7404.24
2023-12-04,7383.05
2023-12-05,7373.06
2023-12-06,7351.45
2023-12-07,7349.49
2023-12-11,7344.54
2023-12-12,7335.63
2023-12-13,7311.17
2023-12-14,7307.5
2023-12-15,7324.92
2023-12-18,7349.88
2023-12-19,7364.48
2023-12-20,7373.76
2023-12-21,7359.59
2023-12-22,7311.34
2023-12-26,7275.52
2023-12-27,7268.41
2023-12-28,7278.37
2024-01-02,7281.04
2024-01-03,7262.13
